Student_ID,Attendance_%,CGPA,Backlogs,ExtraCurricular_Score,Stress_Level_1_10,Study_Hours_per_Day,Family_Support_1_10,Personality_Score_1_10,Mentorship_Visits,Peer_Support_Index_1_10,Dropout
S0026,67.3,8.42,1,5.1,7.4,2.1,6.5,5.4,4,8.9,0
S0027,85.9,8.13,1,6.4,7.7,3.1,6.7,6.5,2,5.2,0
S0028,57.9,7.24,1,0.0,5.3,1.9,4.9,8.2,5,6.5,1
S0029,73.3,6.12,5,4.7,1.2,1.1,7.0,7.4,1,7.6,1
S0030,64.7,7.22,1,8.8,8.1,2.1,3.8,2.7,7,6.4,0
S0031,71.9,8.3,2,8.6,2.8,4.6,7.9,8.0,1,2.7,0
S0032,41.4,8.43,0,3.3,5.0,2.5,5.3,4.5,2,8.1,0
S0033,53.7,7.43,1,5.1,3.3,3.2,5.1,5.2,0,5.5,0
S0034,66.6,6.56,1,5.5,8.3,3.2,5.3,4.1,5,8.5,0
S0035,86.1,6.76,1,0.1,7.6,2.0,8.0,5.2,1,1.0,0
S0036,72.9,7.93,3,1.7,4.4,3.1,4.5,7.5,1,5.2,0
S0037,75.0,7.82,3,8.3,8.2,1.9,4.3,4.9,3,7.0,0
S0038,83.3,4.89,0,5.9,10.0,3.0,5.9,6.3,1,6.7,1
S0039,64.4,7.79,2,2.9,6.7,3.4,9.5,3.6,3,3.0,1
S0040,78.4,7.85,0,2.7,4.2,2.9,10.0,7.3,3,10.0,0
S0041,65.3,5.94,0,5.8,5.4,2.6,5.1,5.0,0,3.3,1
S0042,54.3,6.08,1,3.7,7.4,2.3,6.5,3.9,3,6.9,0
S0043,70.3,6.09,0,7.1,5.6,1.4,10.0,4.8,2,6.0,1
S0044,81.9,6.18,0,4.2,6.7,2.2,7.5,6.4,2,3.4,1
S0045,79.1,5.3,2,3.0,4.2,3.0,3.1,3.1,3,6.9,1
S0046,74.9,7.38,3,4.9,8.7,1.1,7.2,4.7,1,5.3,0
S0047,100.0,6.06,1,4.3,6.3,1.4,6.2,7.3,4,6.3,0
S0048,80.0,6.92,3,4.6,6.7,1.8,5.8,6.7,2,3.8,1
S0049,86.7,6.4,1,4.4,3.9,1.5,8.8,3.5,5,4.6,0
S0050,100.0,7.31,0,4.0,3.4,2.3,5.9,2.1,4,5.0,0
S0051,59.5,5.79,0,2.7,6.0,2.0,6.6,4.4,1,5.4,1
S0052,62.5,7.29,2,3.5,4.6,2.4,5.6,6.0,1,6.4,1
S0053,95.9,7.47,0,6.8,5.3,3.4,10.0,9.2,1,4.9,0
S0054,65.4,7.99,1,7.6,8.2,2.8,3.1,1.3,1,3.1,0
S0055,75.4,9.36,2,6.5,3.1,3.5,9.3,6.7,1,6.1,0
S0056,87.8,4.49,1,1.1,6.4,3.7,8.5,3.2,1,4.5,1
S0057,85.7,7.38,0,2.6,6.3,2.8,5.8,5.2,3,3.3,1
S0058,96.1,6.15,0,8.6,8.8,3.1,6.2,5.0,2,6.0,0
S0059,92.9,4.69,2,6.3,6.2,2.5,6.1,6.8,3,3.8,1
S0060,87.8,8.01,0,6.5,5.6,2.1,2.9,8.9,2,7.2,0
S0061,65.7,8.6,0,8.2,3.3,2.6,4.9,4.3,4,4.9,0
S0062,84.5,6.53,1,6.2,6.4,3.5,7.0,4.8,2,5.9,0
S0063,78.8,7.25,4,5.1,6.6,2.2,3.3,5.7,1,4.8,0
S0064,59.1,6.92,5,4.6,8.4,1.5,8.5,2.7,4,7.1,1
S0065,92.0,7.52,0,6.7,6.0,3.0,4.6,3.9,4,5.6,0
S0066,84.7,8.06,2,4.4,6.5,2.9,5.5,9.1,1,3.2,1
S0067,75.5,7.41,4,3.9,1.8,2.5,9.0,9.0,1,6.4,0
S0068,72.2,7.41,0,6.4,5.2,3.1,7.6,7.0,2,6.1,0
S0069,60.6,8.51,1,4.2,4.5,1.7,4.8,7.4,1,10.0,1
S0070,77.4,6.8,0,5.6,4.1,2.9,4.2,5.4,1,4.4,1
S0071,80.6,8.11,2,6.4,6.1,3.2,6.0,5.9,2,4.7,1
S0072,65.0,6.01,4,7.1,6.1,4.4,4.7,2.9,3,6.2,1
S0073,88.9,8.93,2,5.2,7.6,1.8,10.0,7.6,2,6.8,0
S0074,61.8,7.89,1,7.6,2.7,2.3,5.3,4.7,3,4.7,0
S0075,49.5,6.52,3,6.5,8.3,2.4,3.8,4.9,2,3.0,1
S0076,87.5,4.46,0,6.8,6.1,1.8,5.4,4.3,1,5.5,0
S0077,70.2,7.0,2,5.0,4.2,1.7,2.8,6.5,1,5.6,0
S0078,73.5,5.58,1,3.6,5.8,2.5,2.8,5.8,3,6.6,0
S0079,64.9,7.36,1,6.8,2.9,3.3,8.7,5.7,1,3.9,0
S0080,55.7,8.74,0,5.3,7.9,1.6,7.2,8.3,2,5.6,0
S0081,90.1,7.19,1,6.8,6.9,3.1,2.2,4.4,2,9.1,0
S0082,66.7,6.79,1,5.2,8.1,3.3,8.3,6.7,0,7.1,1
S0083,94.9,7.41,1,4.2,8.0,3.3,4.8,5.3,6,7.4,0
S0084,84.7,7.34,1,2.0,5.9,2.1,2.3,4.8,2,10.0,0
S0085,71.2,4.16,2,0.7,7.5,1.8,5.1,6.0,2,3.6,1
S0086,62.0,7.29,1,5.8,5.4,4.0,7.4,7.9,4,7.7,0
S0087,66.2,7.74,1,3.1,6.0,3.4,4.8,4.6,0,7.1,1
S0088,60.4,6.69,2,4.1,7.2,1.0,7.8,3.5,3,5.6,1
S0089,100.0,8.17,1,5.6,5.9,2.3,5.2,5.6,0,3.7,0
S0090,77.0,6.85,3,4.4,8.4,1.1,4.3,4.0,1,3.3,1
S0091,88.8,7.92,1,4.2,4.1,3.9,4.7,9.2,0,1.1,0
S0092,59.8,9.73,1,8.3,5.2,3.0,7.9,4.2,3,6.5,0
S0093,77.2,6.88,3,3.9,7.1,2.9,3.4,7.2,4,8.1,0
S0094,89.1,4.67,2,5.8,9.6,1.5,4.6,7.9,3,6.3,1
S0095,71.0,6.6,2,5.8,7.4,2.0,7.0,5.2,2,6.4,0
S0096,87.4,4.93,0,2.3,6.1,3.1,1.0,4.3,5,7.9,1
S0097,62.0,7.73,0,5.6,5.1,0.7,8.0,4.7,2,4.6,0
S0098,58.6,8.57,1,3.6,6.4,3.5,9.5,7.6,1,6.1,0
S0099,79.6,7.84,1,6.4,5.0,2.5,6.2,5.6,3,8.7,0
S0100,70.4,7.38,4,4.4,5.3,2.0,2.7,4.1,2,8.0,0
S0101,82.7,6.23,0,3.1,4.9,2.4,5.8,7.3,1,5.7,0
S0102,51.3,8.89,0,9.1,8.4,2.6,4.7,4.1,3,2.6,0
S0103,83.5,7.9,2,1.9,8.4,2.9,5.5,6.7,2,7.6,0
S0104,100.0,7.34,0,5.5,6.2,1.4,5.5,7.0,3,4.5,0
S0105,74.7,7.25,2,7.2,4.1,1.1,6.7,3.9,2,8.5,0
S0106,75.4,7.13,1,4.4,4.1,2.1,7.2,8.4,0,7.5,1
S0107,77.2,7.54,0,7.1,9.2,1.9,4.3,5.6,2,7.7,0
S0108,52.7,6.26,0,7.7,6.8,2.2,9.0,3.6,2,6.0,0
S0109,80.1,8.83,2,8.2,1.7,3.6,6.3,6.3,1,7.9,0
S0110,55.7,7.18,2,4.1,5.7,3.1,6.1,3.3,1,5.6,1
S0111,69.9,7.72,1,8.9,8.3,0.9,6.5,8.1,0,8.2,0
S0112,89.9,6.48,0,5.1,2.0,3.9,6.2,2.4,2,7.9,0
S0113,66.2,7.45,0,9.2,8.4,3.0,7.6,9.2,3,5.6,0
S0114,81.0,4.26,1,2.1,3.2,1.8,4.5,8.2,0,6.4,0
S0115,87.2,5.66,1,6.0,3.3,2.3,8.8,6.7,1,5.6,0
S0116,78.3,6.96,1,3.6,9.0,2.2,6.4,6.7,2,5.7,0
S0117,58.5,5.41,1,9.1,5.8,1.5,4.5,3.8,2,2.6,1
S0118,71.0,9.93,1,6.4,7.5,2.6,5.5,5.1,2,1.7,1
S0119,98.5,5.0,2,6.2,6.8,3.1,9.5,6.7,2,7.8,1
S0120,50.7,7.42,0,4.4,6.4,2.7,7.5,4.5,1,6.8,0
S0121,71.7,8.99,1,2.8,8.7,1.9,3.4,3.4,2,4.9,1
S0122,68.4,7.58,1,5.0,7.8,2.4,4.1,3.2,1,4.9,0
S0123,76.4,6.63,4,5.3,4.7,3.3,6.1,5.6,2,7.0,0
S0124,84.0,6.34,0,6.8,8.3,2.4,4.0,10.0,1,2.1,1
S0125,94.3,7.81,2,2.9,4.7,1.0,6.6,4.0,2,6.2,0
S0126,71.8,6.04,1,7.8,4.0,1.8,3.5,5.9,1,8.4,1
S0127,84.7,6.86,1,5.7,9.2,2.6,8.8,5.1,2,4.8,1
S0128,81.0,7.83,3,7.0,5.3,0.9,7.9,4.4,3,10.0,0
S0129,80.7,6.63,0,1.8,2.9,3.0,6.4,9.4,0,7.4,0
S0130,68.2,7.11,1,7.2,4.2,3.8,9.2,6.6,1,3.8,0
S0131,63.0,6.64,0,4.9,8.1,1.6,6.4,5.0,0,5.3,0
S0132,61.8,5.84,2,7.8,4.8,2.8,9.6,8.7,6,7.3,0
S0133,65.9,8.43,2,0.5,4.7,1.3,3.9,5.8,3,7.7,1
S0134,78.9,8.67,0,5.1,10.0,2.9,8.4,5.6,5,5.9,0
S0135,84.1,6.62,2,6.3,3.6,2.0,7.0,6.7,0,1.9,0
S0136,78.9,6.68,0,4.8,3.7,3.0,7.2,5.0,2,5.9,0
S0137,68.4,6.79,0,5.1,6.6,2.0,6.9,5.2,2,6.2,0
S0138,96.7,7.65,3,3.8,2.6,2.3,5.9,7.4,3,8.8,0
S0139,93.2,5.91,1,6.2,5.9,2.3,7.7,10.0,2,7.0,0
S0140,70.8,6.89,3,4.1,5.0,2.8,6.5,5.9,2,6.9,1
S0141,65.1,7.32,0,4.5,6.6,2.3,4.3,7.8,3,5.7,0
S0142,76.6,7.77,0,10.0,5.5,2.1,6.8,7.5,3,6.3,0
S0143,90.2,3.66,1,1.7,7.1,1.4,4.9,2.6,3,2.6,1
S0144,79.0,7.48,1,7.1,3.2,2.1,6.1,5.0,0,5.8,0
S0145,81.7,7.42,2,5.8,5.8,2.8,6.5,6.7,2,7.9,1
S0146,72.5,8.21,1,7.6,5.4,2.5,7.3,2.6,2,4.8,0
S0147,80.5,6.37,0,5.6,8.4,1.7,7.9,3.3,1,5.1,1
S0148,93.5,6.38,0,7.2,7.5,3.2,5.2,6.7,2,4.1,0
S0149,72.1,8.44,2,6.0,4.8,2.4,4.1,6.9,2,8.1,0
S0150,76.7,5.12,1,3.7,3.6,3.0,8.4,8.2,0,10.0,1
S0151,78.0,8.95,1,5.7,3.6,2.6,8.1,7.5,1,4.6,0
S0152,78.4,10.0,4,6.0,8.0,2.5,5.7,5.4,1,3.1,0
S0153,58.1,7.57,2,8.9,7.0,1.3,4.4,9.0,2,5.5,0
S0154,52.5,7.98,1,3.8,7.3,2.6,5.5,8.7,3,7.2,0
S0155,62.8,5.21,1,3.5,7.9,3.9,5.5,6.7,1,4.0,1
S0156,77.0,6.17,1,6.9,3.2,3.0,7.6,5.2,4,4.1,0
S0157,81.6,8.27,1,5.4,3.3,3.4,10.0,3.5,3,6.1,0
S0158,68.6,7.43,1,5.9,5.5,3.3,6.3,4.4,0,3.1,1
S0159,91.5,6.78,1,5.9,7.3,3.3,7.9,5.6,0,7.6,1
S0160,73.3,7.28,1,5.2,5.7,4.7,8.4,4.8,1,8.5,0
S0161,75.2,7.61,3,4.3,5.3,3.7,5.3,7.0,3,2.3,1
S0162,72.7,6.65,3,7.9,4.5,1.2,4.8,6.3,6,8.8,0
S0163,76.6,6.97,0,0.9,5.6,3.9,3.4,4.0,1,5.7,1
S0164,83.5,6.96,0,6.2,4.3,1.9,5.8,3.4,2,8.0,0
S0165,83.0,5.74,1,6.5,1.9,4.0,7.0,8.6,3,6.0,1
S0166,64.2,7.39,3,0.8,5.9,2.8,8.8,6.7,4,6.4,0
S0167,93.3,9.16,3,4.6,3.1,2.5,3.1,6.4,0,5.6,0
S0168,61.9,9.08,0,7.1,7.3,3.9,8.0,8.7,4,5.0,1
S0169,76.0,5.23,1,4.4,5.0,1.8,7.9,3.2,1,7.1,1
S0170,71.7,7.68,0,3.6,3.6,3.0,5.3,2.1,0,6.1,1
S0171,62.4,7.81,1,6.2,2.8,3.7,8.3,6.1,4,5.3,0
S0172,74.1,6.51,1,0.5,5.2,2.0,4.0,7.4,4,6.7,0
S0173,66.1,5.84,2,1.6,6.0,3.3,6.6,5.7,0,6.9,1
S0174,75.9,5.42,1,1.9,8.4,2.1,6.1,9.4,2,5.4,1
S0175,79.8,6.47,2,6.1,3.4,2.2,5.2,8.5,2,6.9,0
S0176,92.7,7.42,3,7.9,7.8,2.1,4.9,3.9,1,8.1,1
S0177,78.7,6.81,0,2.3,2.8,0.5,3.3,5.8,0,5.7,0
S0178,67.7,6.27,0,4.4,6.2,1.4,6.3,7.9,0,4.3,0
S0179,70.3,5.5,2,6.2,7.9,0.8,6.9,6.6,1,6.9,1
S0180,76.7,7.42,0,2.9,1.7,1.8,5.8,8.2,2,4.7,0
S0181,76.1,8.28,1,9.3,3.7,2.4,5.7,4.0,4,6.0,0
S0182,92.5,5.89,0,4.6,4.0,1.7,5.8,5.3,0,4.3,0
S0183,91.7,7.54,2,5.4,10.0,3.6,6.4,8.0,4,9.3,0
S0184,70.7,4.74,1,6.4,5.9,1.7,7.1,8.7,6,8.2,1
S0185,68.4,6.21,3,5.4,7.0,2.6,5.4,7.3,4,7.6,1
S0186,44.3,7.88,4,4.0,6.9,2.7,8.5,5.9,2,10.0,1
S0187,68.4,5.66,0,5.6,6.6,2.1,6.3,2.4,3,4.8,1
S0188,63.3,6.27,0,1.6,5.8,2.6,5.1,9.5,2,5.0,0
S0189,70.7,8.7,3,2.3,4.1,1.7,4.8,8.6,2,7.8,0
S0190,79.7,6.12,0,6.0,4.1,4.3,6.4,5.7,0,5.9,0
S0191,77.1,5.98,0,5.6,2.3,3.1,3.9,6.5,1,5.9,0
S0192,74.6,7.69,1,4.3,6.3,2.4,3.8,7.9,0,5.4,0
S0193,77.4,9.35,1,6.8,7.6,3.0,6.9,6.2,1,6.1,0
S0194,73.5,6.71,0,8.1,6.5,3.8,8.6,7.2,2,6.9,0
S0195,77.4,7.92,0,6.1,6.6,4.7,5.4,6.1,0,8.7,1
S0196,36.2,8.61,1,3.6,4.9,0.6,1.3,7.0,1,5.1,0
S0197,71.8,7.39,0,7.0,2.1,3.7,4.9,7.2,2,5.5,0
S0198,73.7,6.68,1,8.7,1.6,2.1,6.7,8.2,1,6.5,0
S0199,70.9,5.95,1,2.5,7.6,1.6,7.2,6.8,0,5.0,1
S0200,72.4,5.29,0,4.7,6.6,1.7,4.8,9.8,2,9.4,0
S0201,83.4,8.33,0,5.9,6.1,2.6,4.4,6.0,5,4.8,0
S0202,67.8,7.22,1,4.1,9.1,2.2,7.7,9.2,2,7.5,0
S0203,100.0,8.6,3,5.3,5.1,1.6,6.7,4.8,2,3.5,0
S0204,83.3,8.19,1,4.8,6.4,2.1,6.0,7.8,2,8.6,0
S0205,74.9,6.26,0,5.9,8.2,3.1,6.9,7.8,4,6.1,0
S0206,72.5,5.58,2,3.2,4.4,2.5,4.0,5.4,1,6.0,1
S0207,74.0,7.5,3,8.5,7.7,1.3,9.0,5.3,1,3.8,1
S0208,64.0,6.24,0,2.5,7.7,2.2,4.2,7.7,0,9.8,1
S0209,73.9,7.45,2,4.7,6.8,4.9,4.2,8.8,2,4.6,0
S0210,78.3,6.12,2,4.2,7.4,2.3,6.9,1.6,1,5.0,1
S0211,82.0,5.97,2,4.6,6.5,2.4,9.6,4.6,3,6.1,0
S0212,82.0,6.83,1,4.7,2.1,0.5,5.4,9.8,1,9.2,0
S0213,71.7,8.12,1,5.0,2.9,1.4,5.1,6.4,2,7.9,0
S0214,58.0,7.37,1,8.8,3.5,3.8,6.5,9.7,1,10.0,0
S0215,67.0,8.41,2,3.8,3.8,3.0,6.3,6.6,2,10.0,1
S0216,94.3,5.52,2,4.5,2.3,3.1,3.9,5.4,1,7.7,0
S0217,85.8,5.73,2,3.9,2.2,2.3,8.7,4.3,2,5.5,0
S0218,79.4,6.89,5,3.4,4.3,1.3,5.8,5.6,3,5.8,0
S0219,65.9,9.6,1,6.5,8.0,2.6,7.4,5.6,0,2.3,0
S0220,75.0,7.81,2,5.0,6.8,2.2,9.0,2.9,4,8.1,1
S0221,59.9,5.72,0,2.6,9.4,2.4,7.3,7.8,0,6.3,1
S0222,68.4,6.91,0,2.3,6.9,4.6,5.8,6.2,2,5.5,1
S0223,72.1,7.26,1,4.7,6.9,2.7,6.8,7.6,1,6.2,1
S0224,70.7,6.32,3,8.7,3.4,3.3,6.2,5.3,5,6.5,0
S0225,86.5,7.74,2,3.5,4.2,3.5,6.1,5.4,2,4.4,0
S0226,58.0,6.81,1,4.0,3.7,2.9,6.5,5.3,1,9.0,1
S0227,64.6,6.64,1,4.7,6.3,2.3,4.0,6.7,1,6.4,1
S0228,58.5,8.51,1,7.8,2.6,1.8,4.3,3.5,4,4.9,0
S0229,60.2,4.95,1,6.7,4.6,4.3,4.6,2.3,3,1.8,1
S0230,76.5,5.85,1,6.1,7.6,2.6,6.2,7.1,2,6.8,0
S0231,55.8,6.02,1,2.8,3.0,1.6,6.0,6.7,1,4.6,1
S0232,84.0,5.98,1,4.1,2.6,2.9,3.1,8.8,1,9.8,0
S0233,72.0,6.13,1,5.5,3.3,3.8,5.4,3.7,3,5.8,0
S0234,75.8,7.59,2,2.6,6.2,3.3,8.0,7.8,1,8.6,1
S0235,78.9,8.32,0,2.0,5.1,0.5,7.5,8.4,2,5.1,0
S0236,69.8,8.1,1,4.4,6.9,1.8,6.9,6.6,3,2.9,1
S0237,87.4,5.78,1,1.7,7.8,3.0,6.2,7.8,2,3.6,1
S0238,72.7,6.87,1,5.2,6.3,2.9,8.1,5.5,3,5.3,1
S0239,82.1,7.54,2,7.3,4.9,3.9,7.8,7.7,2,6.5,1
S0240,72.6,7.29,2,5.8,5.1,0.5,3.7,6.7,2,7.2,0
S0241,78.5,8.57,2,8.2,2.3,2.2,3.7,3.0,1,7.0,1
S0242,78.4,6.19,2,4.0,3.3,2.0,6.3,2.5,2,6.1,1
S0243,78.0,7.19,1,2.6,5.5,2.4,6.6,5.1,3,3.3,0
S0244,63.3,6.53,3,5.7,3.5,4.2,6.9,6.2,3,5.1,1
S0245,80.2,7.3,0,5.5,4.0,2.0,6.5,3.4,2,5.1,0
S0246,71.2,5.71,1,2.1,6.9,3.3,3.7,3.3,1,7.9,1
S0247,82.6,5.89,0,4.6,4.8,3.7,5.4,4.6,2,6.3,1
S0248,49.2,6.12,1,7.3,5.3,2.2,6.7,8.7,1,2.0,1
S0249,57.4,6.32,2,7.7,6.8,2.3,4.9,10.0,2,1.0,1
S0250,79.4,8.86,2,6.3,5.4,3.5,10.0,6.2,2,5.1,1
S0251,97.4,8.41,1,6.1,5.7,1.1,6.2,2.2,3,4.7,0
S0252,85.0,6.74,0,7.3,3.3,2.3,7.9,5.3,0,5.2,0
S0253,66.8,7.21,1,6.0,8.2,2.4,3.6,1.0,1,4.4,1
S0254,54.7,5.09,2,7.7,3.9,0.5,6.6,5.9,2,6.9,1
S0255,83.9,6.78,1,4.6,5.6,1.8,5.9,6.4,1,7.2,0
S0256,74.0,7.19,1,6.2,6.4,2.2,2.9,6.6,1,9.0,0
S0257,82.1,8.37,0,5.9,6.7,3.6,6.9,6.6,1,6.6,0
S0258,76.4,7.39,0,7.0,6.1,1.0,4.0,10.0,0,10.0,0
S0259,75.4,7.52,2,8.3,4.8,2.6,5.1,4.4,2,5.0,0
S0260,100.0,7.36,2,6.1,1.9,2.4,8.2,4.2,3,2.7,0
S0261,74.9,7.32,1,3.9,5.0,0.8,5.8,7.6,1,6.3,0
S0262,73.1,5.32,1,4.1,6.6,2.9,9.1,7.9,0,8.4,0
S0263,73.5,6.5,4,6.4,5.8,1.1,5.3,5.1,1,6.5,1
S0264,68.0,8.72,1,5.6,6.3,2.4,7.9,4.3,4,7.2,0
S0265,86.9,7.99,1,1.9,4.1,1.7,5.0,6.0,6,7.5,0
S0266,70.8,7.59,0,5.6,6.0,2.0,6.3,6.4,2,6.2,0
S0267,82.6,7.08,1,5.9,2.7,0.6,4.5,7.5,2,7.2,0
S0268,78.4,7.79,1,5.6,4.2,1.9,4.6,6.2,1,5.0,0
S0269,89.6,5.87,1,6.6,8.7,3.2,4.6,7.0,2,9.4,0
S0270,80.0,5.1,2,6.2,5.3,2.2,4.0,7.9,3,7.6,1
S0271,60.4,6.54,1,5.1,7.4,1.7,8.1,5.6,0,9.1,1
S0272,59.1,7.65,1,6.5,7.6,1.9,6.6,6.1,3,2.1,0
S0273,91.9,7.13,0,2.3,7.2,3.5,9.2,2.5,2,2.8,1
S0274,67.7,8.22,0,2.7,3.4,1.2,1.0,4.4,1,8.6,0
S0275,59.2,7.42,2,6.2,2.5,2.6,6.2,7.9,5,6.2,0
S0276,67.0,7.05,0,2.8,1.0,0.5,7.4,7.8,1,6.0,0
S0277,90.2,8.59,0,8.4,3.5,2.6,6.5,7.2,1,7.0,0
S0278,58.0,8.36,0,6.4,6.2,3.1,8.3,6.1,4,5.4,0
S0279,64.6,6.88,0,5.5,5.9,2.0,8.4,1.7,3,2.9,1
S0280,67.0,5.68,2,7.6,6.8,3.0,6.6,5.9,1,2.4,1
S0281,60.0,5.91,3,5.6,7.5,1.9,6.9,4.2,2,6.7,1
S0282,60.8,6.81,1,9.2,1.8,1.5,8.1,8.1,4,7.1,0
S0283,56.8,6.56,1,6.5,7.2,2.9,3.4,5.6,2,7.1,1
S0284,69.5,8.99,2,3.8,6.3,3.3,4.9,2.6,0,6.9,0
S0285,70.7,4.98,0,3.6,9.5,0.9,7.6,5.3,1,3.1,1
S0286,66.8,6.92,1,3.1,5.8,1.8,4.3,6.3,0,4.2,1
S0287,55.2,5.72,2,7.3,3.7,3.6,5.8,4.7,3,2.4,1
S0288,90.0,7.14,2,4.3,2.4,1.1,5.9,6.2,0,4.0,1
S0289,59.1,7.46,2,7.7,5.9,2.1,6.4,5.4,1,5.0,1
S0290,78.3,6.51,1,6.4,4.3,2.9,3.6,7.2,1,4.3,1
S0291,62.1,7.64,4,5.5,4.5,2.1,6.4,6.5,2,5.3,0
S0292,83.0,6.76,3,5.8,5.9,3.3,5.9,3.9,5,7.5,1
S0293,86.5,6.78,1,5.7,3.8,2.0,4.8,5.1,2,7.8,0
S0294,64.5,6.5,1,1.7,5.1,2.2,6.5,7.1,2,4.5,1
S0295,51.9,7.78,1,7.6,1.6,2.8,4.7,6.9,3,5.4,0
S0296,83.3,7.17,0,4.6,7.2,3.2,7.3,7.6,3,4.5,1
S0297,97.5,8.89,1,6.2,4.6,3.0,7.1,6.5,3,6.0,0
S0298,80.0,8.52,2,2.1,8.4,2.8,5.6,8.0,2,5.2,0
S0299,76.9,7.66,1,4.8,4.4,3.0,5.0,7.4,2,1.1,0
S0300,84.8,4.41,2,4.6,4.8,2.5,5.3,4.1,3,6.7,1
S0301,84.2,5.22,1,2.1,3.7,3.1,2.7,5.1,2,6.6,1
S0302,65.1,8.18,0,4.7,7.9,2.4,5.8,5.5,0,7.3,1
S0303,67.1,6.43,2,2.8,5.8,2.7,5.1,3.4,1,3.9,1
S0304,82.3,7.28,0,7.9,4.0,0.7,4.1,6.0,2,9.6,0
S0305,73.3,6.24,3,5.6,5.0,1.3,5.6,3.7,1,5.9,1
S0306,90.8,7.62,2,4.5,4.7,3.5,6.0,7.5,0,6.9,0
S0307,66.5,8.15,0,5.7,8.5,4.5,6.1,3.2,1,4.2,1
S0308,84.0,5.55,2,2.3,5.2,1.2,9.4,6.6,2,3.7,1
S0309,79.1,6.02,2,0.0,2.1,1.1,4.7,4.1,1,6.6,1
S0310,73.5,5.0,1,3.5,4.1,1.2,2.4,8.0,0,4.6,1
S0311,89.1,7.28,3,6.3,4.6,2.5,9.2,4.0,4,5.9,0
S0312,83.2,5.0,0,3.9,3.2,1.2,7.0,4.1,3,8.0,0
S0313,62.9,6.56,3,7.3,5.3,1.4,6.1,5.5,3,10.0,1
S0314,82.7,7.62,4,6.1,4.7,2.9,5.7,5.8,3,5.8,0
S0315,91.5,9.47,6,6.8,4.4,4.6,5.7,9.4,3,8.0,0
S0316,73.4,7.44,1,6.6,4.8,1.5,5.1,9.6,3,7.5,0
S0317,72.0,8.5,1,5.9,8.3,4.5,3.7,6.3,1,8.5,1
S0318,67.0,7.31,2,2.5,3.6,3.3,8.1,4.2,1,6.8,1
S0319,74.8,7.37,0,5.0,7.1,3.3,7.5,6.7,0,6.8,1
S0320,83.2,6.75,2,8.0,5.9,3.4,7.6,3.3,3,4.9,0
S0321,65.2,6.54,2,2.1,5.3,2.1,4.1,2.7,2,6.9,1
S0322,58.8,8.41,3,6.5,6.7,2.9,7.2,6.6,3,3.4,1
S0323,70.5,7.45,0,7.5,6.3,1.6,9.3,7.4,1,5.8,1
S0324,58.4,7.4,0,4.7,5.3,2.6,4.2,3.2,1,5.6,1
S0325,81.3,6.27,3,6.4,6.8,3.3,6.3,7.8,1,6.7,0
S0326,69.9,6.59,2,3.1,6.3,2.9,7.1,5.6,2,5.1,1
S0327,53.9,9.48,1,3.7,6.9,3.4,5.1,6.3,0,2.7,1
S0328,70.8,6.92,1,5.4,7.8,3.9,5.0,4.5,1,3.5,1
